0.05,0.16,0.58,1.00,1.00,0.80,1.00
0.15,0.13,0.27,0.87,1.00,0.62,1.00
0.41,0.04,0.03,0.05,0.26,0.50,1.00
1.00,0.77,0.52,0.57,1.00,0.40,0.00
0.12,0.31,1.00,1.00,0.93,0.50,0.00
1.00,1.00,1.00,0.88,1.00,0.50,0.00
0.00,0.14,0.59,1.00,1.00,0.40,1.00
1.00,0.71,0.72,1.00,1.00,0.40,0.00
1.00,1.00,0.05,0.05,0.16,0.50,1.00
1.00,1.00,0.80,0.60,0.71,0.60,0.00
1.00,0.26,0.15,0.14,0.30,0.50,1.00
1.00,1.00,0.57,0.26,0.18,0.30,1.00
1.00,0.92,0.75,0.93,1.00,0.70,0.00
0.28,0.04,0.05,0.09,0.44,0.42,1.00
1.00,1.00,0.88,0.18,0.13,0.30,1.00
1.00,0.87,0.70,0.88,1.00,0.50,0.00
1.00,1.00,1.00,0.99,1.00,0.40,0.00
0.06,0.04,0.12,0.39,1.00,0.57,1.00
1.00,1.00,0.94,1.00,1.00,0.50,0.00
1.00,0.24,0.12,0.11,0.23,0.50,1.00
1.00,1.00,1.00,1.00,1.00,0.40,0.00
1.00,0.34,0.13,0.08,0.12,0.50,1.00
1.00,0.14,0.06,0.05,0.12,0.50,1.00
1.00,0.66,0.60,0.87,1.00,0.50,0.00
1.00,0.92,0.75,1.00,1.00,0.40,0.00
1.00,1.00,0.68,0.70,1.00,0.50,0.00
0.63,0.22,0.20,0.29,0.93,0.48,1.00
1.00,0.65,0.24,0.27,1.00,0.64,1.00
1.00,1.00,1.00,0.15,0.10,0.31,1.00
1.00,1.00,0.18,0.08,0.07,0.50,1.00
1.00,0.17,0.24,0.58,1.00,0.52,1.00
0.80,0.85,1.00,1.00,1.00,0.70,0.00
0.12,0.06,0.12,0.34,1.00,0.47,1.00
1.00,1.00,0.41,0.18,0.12,0.54,1.00
1.00,1.00,1.00,1.00,0.57,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,0.77,0.20,0.11,0.09,0.33,1.00
1.00,0.67,0.29,0.23,1.00,0.37,1.00
1.00,1.00,0.79,0.39,0.30,0.50,0.00
0.29,0.02,0.02,0.05,0.30,0.50,1.00
1.00,1.00,1.00,1.00,0.69,0.50,0.00
0.51,0.75,1.00,1.00,0.50,0.50,0.00
0.98,0.31,0.19,0.21,0.44,0.41,1.00
1.00,1.00,0.54,0.24,0.15,0.36,1.00
1.00,0.15,0.08,0.07,0.19,0.50,1.00
0.28,0.32,1.00,1.00,1.00,0.80,0.00
0.12,0.06,0.14,0.39,1.00,0.62,1.00
0.46,0.19,0.19,0.31,1.00,0.30,1.00
1.00,1.00,1.00,1.00,1.00,0.70,0.00
1.00,1.00,0.50,0.18,0.10,0.35,1.00
0.63,1.00,1.00,0.84,1.00,0.50,0.00
1.00,1.00,0.35,0.57,1.00,0.00,0.00
1.00,0.85,0.46,0.42,0.64,0.60,0.00
1.00,1.00,0.09,0.09,0.21,0.38,1.00
0.68,0.68,1.00,1.00,0.89,0.20,0.00
0.05,0.18,1.00,1.00,1.00,0.79,1.00
0.68,0.57,0.77,1.00,1.00,0.30,0.00
1.00,1.00,1.00,0.18,0.17,0.50,1.00
1.00,1.00,0.22,0.10,0.07,0.54,1.00
1.00,1.00,1.00,1.00,0.76,0.50,0.00
1.00,1.00,0.47,0.19,0.11,0.60,1.00
1.00,0.91,0.43,0.35,0.48,0.50,0.00
1.00,1.00,1.00,0.91,1.00,0.60,0.00
0.78,0.22,0.18,0.22,0.63,0.50,1.00
0.04,0.02,0.02,0.03,0.22,0.60,1.00
1.00,1.00,1.00,0.52,1.00,0.50,0.00
0.17,0.14,0.26,0.76,1.00,0.43,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,0.60,0.44,0.51,0.30,0.00
0.63,1.00,1.00,0.71,1.00,0.40,0.00
0.09,0.05,0.13,0.38,1.00,0.50,1.00
1.00,1.00,0.06,0.06,0.17,0.48,1.00
1.00,0.22,0.13,0.12,0.28,0.50,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.04,0.22,1.00,1.00,1.00,0.81,1.00
0.37,0.78,1.00,1.00,1.00,0.40,0.00
0.71,0.57,0.53,0.78,1.00,0.30,0.00
1.00,1.00,0.56,0.37,1.00,0.40,0.00
1.00,0.66,0.43,0.44,0.80,0.50,0.00
0.90,0.51,0.52,0.84,0.55,0.40,0.00
1.00,1.00,1.00,1.00,0.83,0.50,0.00
1.00,0.33,0.12,0.07,0.12,0.33,1.00
1.00,1.00,0.25,0.17,0.21,0.44,1.00
1.00,1.00,0.99,1.00,1.00,0.20,0.00
0.29,0.65,1.00,1.00,1.00,0.50,0.00
1.00,0.72,0.59,0.74,1.00,0.70,0.00
0.14,0.10,0.15,0.30,1.00,0.60,1.00
1.00,1.00,1.00,1.00,0.81,0.50,0.00
1.00,1.00,0.60,0.40,0.44,0.40,0.00
0.63,0.37,0.41,0.71,1.00,0.50,0.00
0.90,0.68,0.82,1.00,1.00,0.20,0.00
0.18,0.08,0.15,0.96,1.00,0.55,1.00
0.43,0.46,0.81,1.00,1.00,0.30,0.00
1.00,1.00,1.00,0.78,0.34,0.00,0.00
1.00,0.27,0.27,0.47,1.00,0.58,1.00
1.00,0.53,0.26,0.21,0.31,0.10,1.00
0.07,0.08,0.19,0.62,1.00,0.50,1.00
1.00,1.00,0.69,0.56,0.70,0.60,0.00
0.63,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,0.16,0.07,0.50,1.00
1.00,1.00,0.55,0.20,0.10,0.14,1.00
0.19,0.15,0.27,0.78,1.00,0.44,1.00
0.09,0.06,0.14,0.41,1.00,0.62,1.00
0.75,0.55,0.68,1.00,1.00,0.80,0.00
1.00,0.73,1.00,1.00,1.00,0.70,0.00
1.00,1.00,0.49,0.15,0.05,0.50,1.00
1.00,0.85,0.88,1.00,1.00,0.40,0.00
0.59,0.65,1.00,1.00,1.00,0.10,0.00
0.92,0.51,0.51,0.80,1.00,0.10,0.00
0.12,0.08,0.15,0.37,1.00,0.65,1.00
1.00,1.00,0.46,0.16,0.07,0.21,1.00
1.00,1.00,1.00,0.16,0.13,0.39,1.00
0.31,0.05,0.05,0.10,0.45,0.40,1.00
1.00,1.00,1.00,0.70,0.72,0.80,0.00
1.00,1.00,0.19,0.16,0.27,0.20,1.00
1.00,1.00,1.00,1.00,1.00,0.00,0.00
0.52,0.82,1.00,1.00,0.45,0.40,0.00
0.75,0.25,0.21,0.29,0.85,0.70,1.00
1.00,0.13,0.23,0.64,1.00,0.48,1.00
1.00,0.33,0.13,0.09,0.15,0.50,1.00
0.52,0.22,0.23,0.37,1.00,0.34,1.00
1.00,0.88,0.71,0.89,1.00,0.50,0.00
1.00,1.00,0.90,0.46,0.38,0.50,0.00
1.00,1.00,0.69,0.86,1.00,0.90,0.00
0.37,0.06,0.06,0.09,0.39,0.40,1.00
1.00,1.00,1.00,0.21,0.05,0.42,1.00
0.94,0.44,0.41,0.59,0.81,0.40,0.00
1.00,1.00,0.66,0.64,1.00,0.90,0.00
